Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DaftarAkun,,,2019-04-01 02:40:33,2019-04-01 02:42:43,2m - 10.237s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login_DaftarAkun,,,2019-04-01 02:40:33,2019-04-01 02:41:07,33.460s,PASSED
"appPath = relativeToAbsolutePath(apkname, getProjectDir())",,required for PathUtil to get the current app path,2019-04-01 02:40:34,2019-04-01 02:40:34,0.091s,PASSED
"startApplication(appPath, false)",,,2019-04-01 02:40:34,2019-04-01 02:40:46,11.889s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-04-01 02:40:46,2019-04-01 02:40:54,8.268s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Login_MenuDaftar""), 0)",,,2019-04-01 02:40:54,2019-04-01 02:40:56,1.883s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNamaSesuaiKTP""), varName, 0)",,,2019-04-01 02:40:56,2019-04-01 02:40:56,0.505s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpEmail""), varEmail, 0)",,,2019-04-01 02:40:56,2019-04-01 02:40:58,1.325s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNomorHandphone""), varHandphone, 0)",,,2019-04-01 02:40:58,2019-04-01 02:40:59,1.265s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpPassword""), varPassword, 0, STOP_ON_FAILURE)",,,2019-04-01 02:40:59,2019-04-01 02:41:00,1.236s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpKonfirmasiPassword""), varConfirmPassword, 0)",,,2019-04-01 02:41:00,2019-04-01 02:41:02,1.518s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Daftar_BtnSubmitDaftar""), 0)",,,2019-04-01 02:41:02,2019-04-01 02:41:04,2.020s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-04-01 02:41:04,2019-04-01 02:41:07,3.022s,PASSED
closeApplication(),,,2019-04-01 02:41:07,2019-04-01 02:41:07,0.145s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login_DaftarAkun,,,2019-04-01 02:41:07,2019-04-01 02:41:41,34.617s,PASSED
