Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,,,2019-03-28 13:03:51,2019-03-28 13:27:54,24m - 3.008s,FAILED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:03:51,2019-03-28 13:05:15,1m - 23.831s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:03:52,2019-03-28 13:04:58,1m - 6.336s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:04:58,2019-03-28 13:05:05,6.693s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:05:05,2019-03-28 13:05:07,2.103s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:05:07,2019-03-28 13:05:09,1.825s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:05:09,2019-03-28 13:05:12,2.954s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:05:12,2019-03-28 13:05:12,0.723s,PASSED
closeApplication(),,,2019-03-28 13:05:12,2019-03-28 13:05:15,2.565s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:05:15,2019-03-28 13:06:42,1m - 27.426s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:05:15,2019-03-28 13:06:16,1m - 1.208s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:06:16,2019-03-28 13:06:23,6.826s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:06:23,2019-03-28 13:06:25,1.968s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:06:25,2019-03-28 13:06:27,1.690s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:06:27,2019-03-28 13:06:31,4.610s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:06:31,2019-03-28 13:06:40,8.584s,PASSED
closeApplication(),,,2019-03-28 13:06:40,2019-03-28 13:06:42,2.471s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:06:42,2019-03-28 13:08:31,1m - 48.795s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:06:42,2019-03-28 13:07:47,1m - 4.657s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:07:47,2019-03-28 13:07:54,7.059s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:07:54,2019-03-28 13:07:56,1.876s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:07:56,2019-03-28 13:07:57,1.043s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:07:57,2019-03-28 13:07:58,1.434s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:07:58,2019-03-28 13:08:29,30.387s,PASSED
closeApplication(),,,2019-03-28 13:08:29,2019-03-28 13:08:31,2.292s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:08:31,2019-03-28 13:10:18,1m - 46.530s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:08:31,2019-03-28 13:09:33,1m - 2.228s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:09:33,2019-03-28 13:09:40,6.956s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:09:40,2019-03-28 13:09:42,1.977s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:09:42,2019-03-28 13:09:44,1.720s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:09:44,2019-03-28 13:09:45,1.325s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:09:45,2019-03-28 13:10:15,30.053s,PASSED
closeApplication(),,,2019-03-28 13:10:15,2019-03-28 13:10:18,2.222s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:10:18,2019-03-28 13:12:06,1m - 48.651s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:10:18,2019-03-28 13:11:22,1m - 4.032s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:11:22,2019-03-28 13:11:29,6.978s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:11:29,2019-03-28 13:11:31,1.976s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:11:31,2019-03-28 13:11:32,0.983s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:11:32,2019-03-28 13:11:34,2.274s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:11:34,2019-03-28 13:12:04,30.091s,PASSED
closeApplication(),,,2019-03-28 13:12:04,2019-03-28 13:12:06,2.296s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:12:06,2019-03-28 13:13:25,1m - 18.178s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:12:06,2019-03-28 13:13:08,1m - 1.580s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:13:08,2019-03-28 13:13:15,7.023s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:13:15,2019-03-28 13:13:17,2.040s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:13:17,2019-03-28 13:13:19,1.700s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:13:19,2019-03-28 13:13:21,2.709s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:13:21,2019-03-28 13:13:22,0.642s,PASSED
closeApplication(),,,2019-03-28 13:13:22,2019-03-28 13:13:25,2.461s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:13:25,2019-03-28 13:14:45,1m - 20.146s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:13:25,2019-03-28 13:14:28,1m - 3.708s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:14:28,2019-03-28 13:14:35,6.879s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:14:35,2019-03-28 13:14:37,2.045s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:14:37,2019-03-28 13:14:39,1.737s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:14:39,2019-03-28 13:14:42,2.790s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:14:42,2019-03-28 13:14:42,0.637s,PASSED
closeApplication(),,,2019-03-28 13:14:42,2019-03-28 13:14:45,2.326s,PASSED
,,,,,,
